id,outlet,phase,source,target,llm_polarity,llm_verb,doc_id
E001,dawn,pre,Iran,Israel,negative,threats,742_0
E002,dawn,pre,Pakistan,Iran,positive,call on,1470_0
E003,dawn,pre,US,Pakistan,negative,no more trade,319_0
E004,guardian,pre,US,Iran,negative,called for an end to khamenei’s nearly 40-year reign,2287_0
E005,guardian,pre,Iran,US,negative,retaliation,2706_0
E006,dawn,post,Iran,US,negative,consequences,2135_0
E007,guardian,post,Pakistan,US,positive,shared,3575_0
E008,dawn,pre,UN,Israel,neutral,called on both sides to stop fighting,1413_0
E009,dawn,post,China,UAE,positive,told,1640_0
E010,guardian,post,Iran,Pakistan,positive,confident,3269_0
E011,guardian,pre,Pakistan,Iran,positive,stands ready and honoured to be the host,2976_0
E012,guardian,post,Israel,UAE,positive,met,3553_0
E013,dawn,post,Israel,UAE,positive,met with,1921_0
E014,guardian,pre,Pakistan,US,positive,host talks,3049_0
E015,guardian,pre,Israel,Lebanon,negative,strikes hit,2958_0
E016,dawn,post,Israel,Hezbollah,negative,clashes,1832_0
E017,guardian,pre,Pakistan,US,neutral,messages have been received,3118_0
E018,guardian,pre,US,UK,negative,claimed,3012_0
E019,guardian,pre,Pakistan,US,positive,passed proposals,3036_0
E020,guardian,pre,Pakistan,Iran,positive,told,2976_0
E021,dawn,pre,US,Iran,negative,warned,1497_0
E022,dawn,pre,Pakistan,Iran,positive,reaffirmed,1473_0
E023,guardian,pre,Israel,Iran,negative,killed,2652_0
E024,dawn,post,China,US,positive,said,1927_0
E025,guardian,pre,Pakistan,Iran,positive,spoke with,3049_0
E026,guardian,post,Pakistan,US,positive,claimed,3516_0
E027,guardian,post,Pakistan,Iran,positive,spoken,3372_0
E028,guardian,post,Pakistan,Iran,positive,hailed,3210_0
E029,guardian,pre,UK,US,neutral,warned,2231_0
E030,guardian,post,US,Iran,positive,agreed,3339_0
E031,dawn,post,Pakistan,US,positive,tried to help us and the iranians bridge the gap,1603_0
E032,dawn,pre,Pakistan,Israel,positive,said,1044_0
E033,guardian,post,Pakistan,Iran,positive,pledged,3210_0
E034,guardian,pre,Pakistan,US,positive,attempts to broker,2982_0
E035,guardian,pre,Israel,Iran,negative,attack,2429_0
E036,dawn,pre,Iran,IAEA,negative,accusing,1034_0
E037,guardian,post,Iran,Saudi_Arabia,negative,say goodbye to oil production,3397_0
E038,guardian,pre,Israel,Iran,negative,attack,2401_0
E039,dawn,post,Israel,Hezbollah,negative,vowed to crush,2028_0
E040,guardian,post,Pakistan,Lebanon,positive,declared,3697_0
E041,guardian,post,Pakistan,China,positive,call on,3380_0
E042,guardian,post,Israel,Lebanon,negative,attack,3254_0
E043,dawn,pre,Pakistan,Iran,positive,delivering us messages,1384_0
E044,dawn,pre,Pakistan,Israel,negative,condemned,475_0
E045,dawn,post,US,Iran,neutral,watching,1846_0
E046,guardian,pre,Israel,Hezbollah,negative,degraded,2495_0
E047,dawn,pre,Pakistan,UAE,positive,thanked,45_0
E048,dawn,post,Pakistan,US,positive,thanked,2182_0
E049,guardian,post,Saudi_Arabia,US,positive,requested a pause,3579_0
E050,guardian,post,Pakistan,US,positive,intervention,3205_0
E051,dawn,pre,Iran,US,positive,called,1101_0
E052,dawn,pre,Turkey,UN,positive,lauded,627_0
E053,dawn,post,China,Pakistan,positive,praising,2183_0
E054,guardian,pre,US,Iran,negative,destroyed,2417_0
